RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
"",13,13,MANCHESTER_LOCK_ENABLE,"","",1,"","","",0,"",0,"",0,"",0,"","","",1,"",1,"","","",0,"",1,"",1,"","","","","","","","","","",""
"",12,12,ADV_MILLER_USE_RFCOUNTER,"","",0,"","","",0,"",0,"",1,"",1,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",11,11,ADV_MILLER_FILTER_ENABLE,"","",1,"","","",1,"",1,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",10,10,NRZ_DEC_ENABLE,"","",0,"","","",0,"",0,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",9,9,MANCHESTER_DEC_ENABLE,"","",1,"","","",0,"",0,"",0,"",0,"","","",1,"",1,"","","",0,"",1,"",1,"","","","","","","","","","",""
"",8,8,MILLER_DEC_ENABLE,"","",1,"","","",1,"",1,"",1,"",1,"","","",0,"",0,"","","",1,"",0,"",0,"","","","","","","","","","",""
"",7,7,ADV_MILLER_CALIB_OFF,"","",0,"","","",0,"",0,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",6,6,ADV_MILLER_EDGE_SEL,"","",1,"","","",1,"",1,"",1,"",1,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",5,5,CM_EGT_CHECK,"","",0,"","","",0,"",0,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",4,3,TAU,"","",0,"","","",0,"",0,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
